DateTime,Latitude,Longitude,Magnitude
10/20/1963,24.1,5.1,5.6
3/15/1964,49.7,78,5.6
5/16/1964,49.9,78.3,5.6
7/19/1964,49.9,78.1,5.5
9/18/1964,72.9,55.2,4.3
10/25/1964,73.5,53.7,4.9
11/16/1964,49.7,78,6
1/15/1965,49.9,79,6.3
2/27/1965,24.2,5.1,5.8
3/3/1965,49.8,78.1,5.6
5/11/1965,49.8,77.9,5.2
7/15/1965,37.3,-74.4,5.1
7/29/1965,50.4,77.9,4.5
9/16/1965,37.3,-74.4,5.1
10/8/1965,49.8,78,5.7
10/29/1965,51.438,179.182,6.1
12/1/1965,24.1,5.2,5.1
2/3/1966,37.126,-116.236,4.3
2/24/1966,37.272,-116.433,4.8
3/20/1966,49.7,78,6.2
4/3/1966,39.363,-106.462,4.7
5/4/1966,37.137,-116.137,5.5
5/5/1966,37.051,-116.037,4.2
5/12/1966,37.134,-116.071,4.2
5/13/1966,37.086,-116.033,5.6
5/19/1966,37.111,-116.058,5.8
5/24/1966,39.5,-125.5,4.9
5/27/1966,37.179,-116.097,5.1
6/29/1966,49.9,78,5.6
7/7/1966,47.5,-88.9,3.4
7/8/1966,47.5,-88.9,3.6
7/8/1966,47.5,-88.9,3.5
7/9/1966,47.5,-88.9,3.7
7/9/1966,47.5,-88.9,3.7
7/10/1966,47.5,-88.9,3.9
7/10/1966,47.5,-88.9,3.6
7/11/1966,47.5,-88.9,3.6
7/11/1966,47.5,-88.9,3.9
7/12/1966,47.5,-88.9,3.7
7/12/1966,47.5,-88.9,3.6
7/13/1966,47.5,-88.9,3.6
7/13/1966,47.5,-88.9,3.7
7/14/1966,47.5,-88.9,3.7
7/14/1966,47.5,-88.9,3.7
7/15/1966,47.5,-88.9,3.7
7/15/1966,47.5,-88.9,3.6
7/18/1966,47.5,-88.9,3.7
7/18/1966,47.5,-88.9,3.7
7/19/1966,47.5,-88.9,3.7
7/19/1966,47.5,-88.9,3.6
7/20/1966,47.5,-88.9,3.7
7/20/1966,47.5,-88.9,3.6
7/21/1966,47.5,-88.9,3.6
7/21/1966,47.5,-88.9,3.6
7/22/1966,47.5,-88.9,3.7
7/22/1966,47.5,-88.9,3.8
7/23/1966,47.5,-88.9,4.2
7/23/1966,47.5,-88.9,3.7
7/24/1966,47.5,-88.9,3.6
7/24/1966,47.5,-88.9,3.6
7/25/1966,47.5,-88.9,3.6
7/25/1966,47.5,-88.9,3.6
7/26/1966,47.5,-88.9,3.5
7/27/1966,47.5,-88.9,3.6
7/27/1966,47.5,-88.9,3.6
7/28/1966,47.5,-88.9,3.7
7/28/1966,47.5,-88.9,3.6
7/29/1966,36.6,-74.1,4.7
8/19/1966,50.4,77.9,4.8
9/7/1966,49.9,78,4.7
9/29/1966,37.169,-116.045,4.1
10/19/1966,49.7,78,5.7
10/27/1966,73.4,54.9,6.3
12/13/1966,36.877,-115.937,4.6
12/18/1966,49.9,77.8,5.9
12/20/1966,37.302,-116.408,6.3
1/19/1967,37.144,-116.135,5.4
1/20/1967,37.1,-116.004,5.2
2/8/1967,37.168,-116.047,4.8
2/23/1967,37.018,-116.016,4.4
2/23/1967,37.127,-116.066,5.8
2/26/1967,49.778,78.154,6
3/2/1967,37.016,-116.005,4.2
3/25/1967,49.773,78.08,5.3
4/7/1967,37.05,-116.002,3.9
4/20/1967,49.727,78.115,5.7
4/21/1967,37.017,-116.004,4.3
4/24/1967,41.535,-110.618,3.4
4/27/1967,37.133,-116.063,3.8
5/10/1967,37.078,-115.995,5
5/20/1967,37.13,-116.064,5.9
5/23/1967,37.275,-116.37,5.7
5/26/1967,37.25,-116.48,5.5
5/28/1967,49.805,78.076,5.5
6/17/1967,40.7,89.6,4.6
7/22/1967,51.4,1.3,4.7
8/18/1967,37.324,-122.1022,1.9
8/18/1967,37.012,-116.036,4.4
9/1/1967,36.8955,-121.639,1.5
9/7/1967,37.3238,-122.1058,1.6
9/12/1967,37.3248,-122.1075,1.3
9/13/1967,36.8875,-121.6352,1.5
10/30/1967,49.8,78.1,5.5
12/8/1967,49.8,78.2,5.4
12/10/1967,36.678,-107.208,5.1
4/24/1968,49.8,78.1,5
4/26/1968,37.3,-116.5,6.3
6/11/1968,49.84,78.156,5.3
7/12/1968,49.67,78.117,5.4
8/24/1968,-22.207,-138.809,5
9/6/1968,51.15,178.407,4.5
9/6/1968,37.135,-116.047,5.6
9/8/1968,-21.785,-139.157,4.7
9/21/1968,37.4065,-122.2618,1.82
10/30/1968,47.929,-106.642,5
11/7/1968,73.405,54.859,6
11/9/1968,49.788,78.038,4.9
12/18/1968,49.718,78.063,5.2
12/19/1968,37.232,-116.477,6.3
1/2/1969,37.326,-122.1047,2.04
1/8/1969,36.752,-121.5847,2.61
1/8/1969,37.3225,-122.0988,1.96
1/9/1969,37.328,-122.1065,2.01
1/14/1969,36.782,-121.485,2.57
1/14/1969,37.3258,-122.1042,2.04
1/15/1969,37.322,-122.0987,2.24
1/15/1969,37.209,-116.225,5.3
1/17/1969,37.3245,-122.1047,2.17
1/17/1969,36.7793,-121.48,1.83
1/21/1969,37.3153,-122.0792,2.12
1/28/1969,37.3262,-122.1035,2.22
1/29/1969,37.3265,-122.1107,2.3
1/30/1969,37.053,-116.029,4.8
1/31/1969,37.3222,-122.1017,2.02
2/4/1969,36.9127,-121.6285,3.5
2/14/1969,36.7895,-121.4935,1.62
2/18/1969,37.3317,-122.1207,1.22
2/19/1969,37.596,-122.2585,1.75
2/25/1969,37.5955,-122.2488,2.03
2/25/1969,37.7232,-122.4017,1.73
2/26/1969,37.8115,-122.4688,1.78
3/3/1969,37.3253,-122.1075,2.1
3/3/1969,37.3263,-122.1043,2.31
3/5/1969,37.3325,-122.1152,2
3/6/1969,37.3205,-122.0992,1.97
3/6/1969,37.3253,-122.1092,2.34
3/7/1969,49.813,78.15,5.5
3/7/1969,37.3238,-122.0992,1.62
3/8/1969,37.3262,-122.1103,2.42
3/8/1969,36.9053,-121.6342,2.87
3/10/1969,37.3243,-122.1085,2.01
3/10/1969,37.3292,-122.1348,1.71
3/11/1969,36.731,-121.4607,1.56
3/11/1969,37.3277,-122.107,2.13
3/11/1969,37.9793,-122.4563,2.12
3/11/1969,37.4997,-122.3917,2.01
3/12/1969,37.3228,-122.1005,1.83
3/12/1969,36.9367,-122.2378,1.77
3/13/1969,37.327,-122.1023,1.95
3/14/1969,36.9182,-121.6478,2.45
3/17/1969,37.3277,-122.1053,2.01
3/20/1969,37.022,-116.03,4.6
3/21/1969,37.133,-116.085,4.9
3/21/1969,37.3253,-122.1075,1.9
3/24/1969,37.3263,-122.1073,2.17
3/24/1969,36.9077,-121.6297,3.38
3/26/1969,36.9867,-122.1992,2.2
3/27/1969,37.3275,-122.1057,2.11
3/28/1969,37.044,-122.1495,1.58
3/28/1969,36.747,-121.5905,1.79
3/31/1969,36.7782,-121.4855,1.38
3/31/1969,37.3165,-122.0848,1.99
4/2/1969,37.4987,-122.4007,1.38
4/8/1969,36.7772,-121.4777,1.38
4/9/1969,37.3253,-122.1053,1.79
4/9/1969,36.9103,-121.6265,2.88
4/15/1969,36.7492,-121.5858,1.52
4/16/1969,36.9082,-121.627,2.47
4/17/1969,36.7733,-121.484,2.62
4/22/1969,37.2862,-121.9175,2.01
4/22/1969,37.319,-122.1023,1.73
4/22/1969,36.909,-121.6237,3.22
4/24/1969,36.904,-121.615,3.1
4/25/1969,36.9137,-121.6293,3.6
4/29/1969,36.7895,-121.3968,1.4
4/30/1969,37.09,-116.014,5.3
4/30/1969,36.9827,-122.2315,1.64
5/2/1969,36.7422,-121.58,2.64
5/6/1969,37.2387,-121.8573,2.48
5/7/1969,37.282,-116.501,5.8
5/10/1969,37.243,-121.8557,2.21
5/14/1969,36.909,-121.6275,1.97
5/15/1969,37.5408,-122.0672,1.98
5/15/1969,37.5013,-122.3977,1.44
5/15/1969,37.239,-121.8367,1.71
5/16/1969,49.77,78.149,5.3
5/16/1969,36.9088,-121.6295,2.19
5/16/1969,36.753,-121.596,3.23
5/19/1969,36.9025,-121.6253,2.33
5/19/1969,37.3243,-122.108,1.86
5/20/1969,37.3237,-122.114,1.57
5/20/1969,36.9048,-121.6213,3.62
5/21/1969,36.7843,-121.4813,1.56
